frontend_api_id,http_method,frontend_path,backend_api_ids,match_status,frontend_source
FEAPI-0001,GET,/approval/templates,BEAPI-0011,exact-candidate,erp-ui/src/api/approval/definition.js:6
FEAPI-0002,GET,/approval/templates/{templateId},BEAPI-0012,exact-candidate,erp-ui/src/api/approval/definition.js:10
FEAPI-0003,GET,/approval/rules,BEAPI-0013,exact-candidate,erp-ui/src/api/approval/definition.js:14
FEAPI-0004,GET,/approval/rules/{ruleId},BEAPI-0014,exact-candidate,erp-ui/src/api/approval/definition.js:18
FEAPI-0005,POST,/approval/rules,BEAPI-0015,exact-candidate,erp-ui/src/api/approval/definition.js:22
FEAPI-0006,PUT,/approval/rules/{ruleId},BEAPI-0016,exact-candidate,erp-ui/src/api/approval/definition.js:26
FEAPI-0007,POST,/approval/rules/{ruleId}/drafts,BEAPI-0017,exact-candidate,erp-ui/src/api/approval/definition.js:30
FEAPI-0008,PUT,/approval/versions/{versionId},BEAPI-0018,exact-candidate,erp-ui/src/api/approval/definition.js:34
FEAPI-0009,POST,/approval/versions/{versionId}/publish,BEAPI-0019,exact-candidate,erp-ui/src/api/approval/definition.js:38
FEAPI-0010,POST,/approval/rules/{ruleId}/disable,BEAPI-0021,exact-candidate,erp-ui/src/api/approval/definition.js:42
FEAPI-0011,POST,/approval/versions/{versionId}/preview,BEAPI-0020,exact-candidate,erp-ui/src/api/approval/definition.js:46
FEAPI-0012,GET,/approval/instances,BEAPI-0029,exact-candidate,erp-ui/src/api/approval/monitor.js:6
FEAPI-0013,GET,/approval/instances/{instanceId},BEAPI-0030,exact-candidate,erp-ui/src/api/approval/monitor.js:10
FEAPI-0014,GET,/approval/legacy/templates,BEAPI-0026,exact-candidate,erp-ui/src/api/approval/monitor.js:14
FEAPI-0015,GET,/approval/legacy/instances,BEAPI-0027,exact-candidate,erp-ui/src/api/approval/monitor.js:18
FEAPI-0016,GET,/approval/legacy/instances/{businessCode}/{legacyInstanceId},BEAPI-0028,exact-candidate,erp-ui/src/api/approval/monitor.js:23
FEAPI-0017,POST,/approval/instances/{instanceId}/terminate,BEAPI-0031,exact-candidate,erp-ui/src/api/approval/monitor.js:29
FEAPI-0018,POST,/approval/tasks/{taskId}/reassign,BEAPI-0035,exact-candidate,erp-ui/src/api/approval/monitor.js:33
FEAPI-0019,POST,/approval/callbacks/{outboxId}/replay,BEAPI-0010,exact-candidate,erp-ui/src/api/approval/monitor.js:37
FEAPI-0020,POST,/approval/tasks/{taskId}/{action},,unmatched-needs-review,erp-ui/src/api/approval/task.js:7
FEAPI-0021,GET,/approval/validation/runs,BEAPI-0039,exact-candidate,erp-ui/src/api/approval/validation.js:6
FEAPI-0022,GET,/approval/validation/runs/{runId},BEAPI-0040,exact-candidate,erp-ui/src/api/approval/validation.js:10
FEAPI-0023,POST,/approval/validation/run,BEAPI-0041,exact-candidate,erp-ui/src/api/approval/validation.js:14
FEAPI-0024,GET,/file/drive/admin/status,BEAPI-0046,exact-candidate,erp-ui/src/api/drive/admin.js:6
FEAPI-0025,GET,/file/drive/admin/quota/overview,BEAPI-0044,exact-candidate,erp-ui/src/api/drive/admin.js:10
FEAPI-0026,GET,/file/drive/admin/quota/capacity,BEAPI-0045,exact-candidate,erp-ui/src/api/drive/admin.js:14
FEAPI-0027,PUT,/file/drive/admin/quota/capacity,BEAPI-0047,exact-candidate,erp-ui/src/api/drive/admin.js:18
FEAPI-0028,GET,/file/drive/admin/quota/personal-policies,BEAPI-0048,exact-candidate,erp-ui/src/api/drive/admin.js:22
FEAPI-0029,GET,/file/drive/admin/quota/posts,BEAPI-0049,exact-candidate,erp-ui/src/api/drive/admin.js:26
FEAPI-0030,GET,/file/drive/admin/organizations/type-rules,BEAPI-0054,exact-candidate,erp-ui/src/api/drive/admin.js:30
FEAPI-0031,PUT,/file/drive/admin/organizations/type-rules/{deptType},BEAPI-0055,exact-candidate,erp-ui/src/api/drive/admin.js:35
FEAPI-0032,PUT,/file/drive/admin/quota/personal-policies/{subjectType}/{subjectId},BEAPI-0050,exact-candidate,erp-ui/src/api/drive/admin.js:44
FEAPI-0033,DELETE,/file/drive/admin/quota/personal-policies/{subjectType}/{subjectId},BEAPI-0051,exact-candidate,erp-ui/src/api/drive/admin.js:53
