backend_api_id,module,controller,java_method,http_method,controller_path,external_path_candidate,permissions,idempotent_annotation,response_type,data_scope,source,openapi_status
BEAPI-0001,auth,TokenController,login,POST,/login,/auth/login,未声明/公共接口,no,R<?>,待逐接口核验,erp-auth/src/main/java/com/erp/auth/controller/TokenController.java:48,待生成版本化 OpenAPI 基线
BEAPI-0002,auth,TokenController,browserLogin,POST,/browser/login,/auth/browser/login,未声明/公共接口,no,"R<Map<String, Object>>",待逐接口核验,erp-auth/src/main/java/com/erp/auth/controller/TokenController.java:61,待生成版本化 OpenAPI 基线
BEAPI-0003,auth,TokenController,browserSession,GET,/browser/session,/auth/browser/session,未声明/公共接口,no,"R<Map<String, Object>>",待逐接口核验,erp-auth/src/main/java/com/erp/auth/controller/TokenController.java:83,待生成版本化 OpenAPI 基线
BEAPI-0004,auth,TokenController,logout,DELETE,/logout,/auth/logout,未声明/公共接口,no,R<?>,待逐接口核验,erp-auth/src/main/java/com/erp/auth/controller/TokenController.java:95,待生成版本化 OpenAPI 基线
BEAPI-0005,auth,TokenController,browserLogout,DELETE,/browser/session,/auth/browser/session,未声明/公共接口,no,R<?>,待逐接口核验,erp-auth/src/main/java/com/erp/auth/controller/TokenController.java:112,待生成版本化 OpenAPI 基线
BEAPI-0006,auth,TokenController,refresh,POST,/refresh,/auth/refresh,未声明/公共接口,no,R<?>,待逐接口核验,erp-auth/src/main/java/com/erp/auth/controller/TokenController.java:126,待生成版本化 OpenAPI 基线
BEAPI-0007,auth,TokenController,register,POST,/register,/auth/register,未声明/公共接口,no,R<?>,待逐接口核验,erp-auth/src/main/java/com/erp/auth/controller/TokenController.java:139,待生成版本化 OpenAPI 基线
BEAPI-0008,auth,TokenController,passwordPolicy,GET,/passwordPolicy,/auth/passwordPolicy,未声明/公共接口,no,R<String>,待逐接口核验,erp-auth/src/main/java/com/erp/auth/controller/TokenController.java:147,待生成版本化 OpenAPI 基线
BEAPI-0009,auth,TokenController,unlockScreen,POST,/unlockscreen,/auth/unlockscreen,未声明/公共接口,no,R<?>,待逐接口核验,erp-auth/src/main/java/com/erp/auth/controller/TokenController.java:157,待生成版本化 OpenAPI 基线
BEAPI-0010,approval,ApprovalCallbackController,replay,POST,/callbacks/{id}/replay,/approval/callbacks/{id}/replay,approval:callback:replay,no,AjaxResult,待逐接口核验,erp-modules/erp-approval/src/main/java/com/erp/approval/controller/ApprovalCallbackController.java:27,待生成版本化 OpenAPI 基线
BEAPI-0011,approval,ApprovalDefinitionController,templates,GET,/templates,/approval/templates,approval:template:list,no,TableDataInfo,待逐接口核验,erp-modules/erp-approval/src/main/java/com/erp/approval/controller/ApprovalDefinitionController.java:39,待生成版本化 OpenAPI 基线
BEAPI-0012,approval,ApprovalDefinitionController,template,GET,/templates/{id},/approval/templates/{id},approval:template:query,no,AjaxResult,待逐接口核验,erp-modules/erp-approval/src/main/java/com/erp/approval/controller/ApprovalDefinitionController.java:49,待生成版本化 OpenAPI 基线
BEAPI-0013,approval,ApprovalDefinitionController,rules,GET,/rules,/approval/rules,approval:template:list,no,TableDataInfo,待逐接口核验,erp-modules/erp-approval/src/main/java/com/erp/approval/controller/ApprovalDefinitionController.java:58,待生成版本化 OpenAPI 基线
BEAPI-0014,approval,ApprovalDefinitionController,rule,GET,/rules/{id},/approval/rules/{id},approval:template:query,no,AjaxResult,待逐接口核验,erp-modules/erp-approval/src/main/java/com/erp/approval/controller/ApprovalDefinitionController.java:68,待生成版本化 OpenAPI 基线
BEAPI-0015,approval,ApprovalDefinitionController,createRule,POST,/rules,/approval/rules,approval:template:edit,yes,AjaxResult,待逐接口核验,erp-modules/erp-approval/src/main/java/com/erp/approval/controller/ApprovalDefinitionController.java:78,待生成版本化 OpenAPI 基线
BEAPI-0016,approval,ApprovalDefinitionController,updateRule,PUT,/rules/{id},/approval/rules/{id},approval:template:edit,yes,AjaxResult,待逐接口核验,erp-modules/erp-approval/src/main/java/com/erp/approval/controller/ApprovalDefinitionController.java:89,待生成版本化 OpenAPI 基线
