frontend_api_id,module,exported_function,http_method,url_expression,normalized_path,source,contract_status
FEAPI-0001,approval/definition,listApprovalTemplates,GET,`${BASE_URL}/templates`,/approval/templates,erp-ui/src/api/approval/definition.js:6,待与后端/OpenAPI 核验
FEAPI-0002,approval/definition,getApprovalTemplate,GET,`${BASE_URL}/templates/${templateId}`,/approval/templates/{templateId},erp-ui/src/api/approval/definition.js:10,待与后端/OpenAPI 核验
FEAPI-0003,approval/definition,listApprovalRules,GET,`${BASE_URL}/rules`,/approval/rules,erp-ui/src/api/approval/definition.js:14,待与后端/OpenAPI 核验
FEAPI-0004,approval/definition,getApprovalRule,GET,`${BASE_URL}/rules/${ruleId}`,/approval/rules/{ruleId},erp-ui/src/api/approval/definition.js:18,待与后端/OpenAPI 核验
FEAPI-0005,approval/definition,createApprovalRule,POST,`${BASE_URL}/rules`,/approval/rules,erp-ui/src/api/approval/definition.js:22,待与后端/OpenAPI 核验
FEAPI-0006,approval/definition,updateApprovalRule,PUT,`${BASE_URL}/rules/${ruleId}`,/approval/rules/{ruleId},erp-ui/src/api/approval/definition.js:26,待与后端/OpenAPI 核验
FEAPI-0007,approval/definition,createApprovalRuleDraft,POST,`${BASE_URL}/rules/${ruleId}/drafts`,/approval/rules/{ruleId}/drafts,erp-ui/src/api/approval/definition.js:30,待与后端/OpenAPI 核验
FEAPI-0008,approval/definition,updateApprovalVersion,PUT,`${BASE_URL}/versions/${versionId}`,/approval/versions/{versionId},erp-ui/src/api/approval/definition.js:34,待与后端/OpenAPI 核验
FEAPI-0009,approval/definition,publishApprovalVersion,POST,`${BASE_URL}/versions/${versionId}/publish`,/approval/versions/{versionId}/publish,erp-ui/src/api/approval/definition.js:38,待与后端/OpenAPI 核验
FEAPI-0010,approval/definition,disableApprovalRule,POST,`${BASE_URL}/rules/${ruleId}/disable`,/approval/rules/{ruleId}/disable,erp-ui/src/api/approval/definition.js:42,待与后端/OpenAPI 核验
FEAPI-0011,approval/definition,previewApprovalCandidates,POST,`${BASE_URL}/versions/${versionId}/preview`,/approval/versions/{versionId}/preview,erp-ui/src/api/approval/definition.js:46,待与后端/OpenAPI 核验
FEAPI-0012,approval/monitor,listApprovalInstances,GET,`${BASE_URL}/instances`,/approval/instances,erp-ui/src/api/approval/monitor.js:6,待与后端/OpenAPI 核验
FEAPI-0013,approval/monitor,getApprovalInstance,GET,`${BASE_URL}/instances/${instanceId}`,/approval/instances/{instanceId},erp-ui/src/api/approval/monitor.js:10,待与后端/OpenAPI 核验
