permission,occurrences,frontend_sources,backend_sources,sql_sources,alignment_status
approval:callback:replay,4,erp-ui/src/views/approval/manage/components/RuntimeMonitor.vue:155,erp-modules/erp-approval/src/main/java/com/erp/approval/controller/ApprovalCallbackController.java:25,sql/erp_unified_approval_center_20260714.sql:1087 | sql/erp_unified_approval_seed_20260716.sql:649,待核验
approval:instance:list,6,,erp-modules/erp-approval/src/main/java/com/erp/approval/controller/ApprovalLegacyController.java:27 | erp-modules/erp-approval/src/main/java/com/erp/approval/controller/ApprovalLegacyController.java:34 | erp-modules/erp-approval/src/main/java/com/erp/approval/controller/ApprovalRuntimeController.java:34 | erp-modules/erp-system/src/main/java/com/erp/system/service/FrontendFeatureCatalog.java:58,sql/erp_unified_approval_center_20260714.sql:1081 | sql/erp_unified_approval_seed_20260716.sql:643,待核验
approval:instance:query,5,erp-ui/src/views/approval/manage/components/RuntimeMonitor.vue:75,erp-modules/erp-approval/src/main/java/com/erp/approval/controller/ApprovalLegacyController.java:41 | erp-modules/erp-approval/src/main/java/com/erp/approval/service/ApprovalMonitorService.java:38,sql/erp_unified_approval_center_20260714.sql:1082 | sql/erp_unified_approval_seed_20260716.sql:644,待核验
approval:instance:terminate,4,erp-ui/src/views/approval/manage/components/RuntimeMonitor.vue:78,erp-modules/erp-approval/src/main/java/com/erp/approval/controller/ApprovalRuntimeController.java:50,sql/erp_unified_approval_center_20260714.sql:1083 | sql/erp_unified_approval_seed_20260716.sql:645,待核验
approval:task:reassign,4,erp-ui/src/views/approval/manage/components/RuntimeMonitor.vue:132,erp-modules/erp-approval/src/main/java/com/erp/approval/controller/ApprovalTaskController.java:54,sql/erp_unified_approval_center_20260714.sql:1084 | sql/erp_unified_approval_seed_20260716.sql:646,待核验
approval:template:edit,11,erp-ui/src/views/approval/manage/components/FlowConfiguration.vue:38 | erp-ui/src/views/approval/manage/components/FlowConfiguration.vue:61 | erp-ui/src/views/approval/manage/components/FlowConfiguration.vue:69 | erp-ui/src/views/approval/manage/components/FlowConfiguration.vue:77,erp-modules/erp-approval/src/main/java/com/erp/approval/controller/ApprovalDefinitionController.java:111 | erp-modules/erp-approval/src/main/java/com/erp/approval/controller/ApprovalDefinitionController.java:146 | erp-modules/erp-approval/src/main/java/com/erp/approval/controller/ApprovalDefinitionController.java:75 | erp-modules/erp-approval/src/main/java/com/erp/approval/controller/ApprovalDefinitionController.java:86 | erp-modules/erp-approval/src/main/java/com/erp/approval/controller/ApprovalDefinitionController.java:98,sql/erp_unified_approval_center_20260714.sql:1079 | sql/erp_unified_approval_seed_20260716.sql:641,待核验
approval:template:list,6,,erp-modules/erp-approval/src/main/java/com/erp/approval/controller/ApprovalDefinitionController.java:37 | erp-modules/erp-approval/src/main/java/com/erp/approval/controller/ApprovalDefinitionController.java:56 | erp-modules/erp-system/src/main/java/com/erp/system/service/FrontendFeatureCatalog.java:56 | erp-modules/erp-system/src/main/java/com/erp/system/service/FrontendFeatureCatalog.java:60,sql/erp_unified_approval_center_20260714.sql:1069 | sql/erp_unified_approval_seed_20260716.sql:631,待核验
approval:template:publish,4,erp-ui/src/views/approval/manage/components/RuleWizard.vue:223,erp-modules/erp-approval/src/main/java/com/erp/approval/controller/ApprovalDefinitionController.java:123,sql/erp_unified_approval_center_20260714.sql:1080 | sql/erp_unified_approval_seed_20260716.sql:642,待核验
approval:template:query,6,,erp-modules/erp-approval/src/main/java/com/erp/approval/controller/ApprovalDefinitionController.java:136 | erp-modules/erp-approval/src/main/java/com/erp/approval/controller/ApprovalDefinitionController.java:47 | erp-modules/erp-approval/src/main/java/com/erp/approval/controller/ApprovalDefinitionController.java:66 | erp-modules/erp-system/src/main/java/com/erp/system/service/FrontendFeatureCatalog.java:60,sql/erp_unified_approval_center_20260714.sql:1078 | sql/erp_unified_approval_seed_20260716.sql:640,待核验
approval:validation:list,6,erp-ui/src/views/approval/manage/components/ValidationPanel.vue:38,erp-modules/erp-approval/src/main/java/com/erp/approval/controller/ApprovalValidationController.java:34 | erp-modules/erp-approval/src/main/java/com/erp/approval/controller/ApprovalValidationController.java:42 | erp-modules/erp-system/src/main/java/com/erp/system/service/FrontendFeatureCatalog.java:62,sql/erp_unified_approval_center_20260714.sql:1085 | sql/erp_unified_approval_seed_20260716.sql:647,待核验
