old_page_source,target_disposition,new_route,new_component,automated_tests,confirmation_status,implementation_status,target_evidence,notes
erp-ui/src/views/inventory/purchaseReturn/index.vue,重设计,/inventory/purchase-returns | /inventory/purchase-returns/new | /inventory/purchase-returns/:returnId/edit | /inventory/purchase-returns/:returnId,erp-ui-next/src/pages/inventory/purchase-returns/PurchaseReturnWorkbenchPage.vue | erp-ui-next/src/pages/inventory/purchase-returns/PurchaseReturnEditorPage.vue | erp-ui-next/src/pages/inventory/purchase-returns/PurchaseReturnDetailPage.vue | erp-ui-next/src/domains/inventory/purchase-returns/purchase-return.model.ts | erp-ui-next/src/domains/inventory/purchase-returns/purchase-return.contract.ts | erp-ui-next/src/domains/inventory/purchase-returns/purchase-return.gateway.ts | erp-ui-next/src/domains/inventory/purchase-returns/purchase-return.http.ts,erp-ui-next/src/pages/inventory/purchase-returns/PurchaseReturnWorkbenchPage.test.ts | erp-ui-next/src/pages/inventory/purchase-returns/PurchaseReturnEditorPage.test.ts | erp-ui-next/src/pages/inventory/purchase-returns/PurchaseReturnDetailPage.test.ts | erp-ui-next/src/domains/inventory/purchase-returns/purchase-return.contract.test.ts | erp-ui-next/src/domains/inventory/purchase-returns/purchase-return.http.test.ts | erp-ui-next/src/test-support/mock-api/purchase-return.gateway.test.ts | erp-ui-next/src/app/router/purchase-return-routes.test.ts | erp-ui-next/src/app/shell/navigation.test.ts | erp-ui-next/src/api/http/http-client.test.ts,采购退货完整离线业务闭环已完成，真实独立运行环境验收待确认,部分实现,docs/ERP-NEW_2-阶段6采购退货业务闭环前端垂直切片实施计划-20260809.md | docs/ERP-NEW_2-阶段6采购退货业务闭环前端垂直切片检查点-20260809.md,真实采购退货列表、详情、来源采购单、新建、草稿编辑、保存、保存并提交、提交草稿、确认退货、取消、附件上传与有界 Excel 导出 Gateway 已接入；严格限定当前精确仓库并强制 no-store、CSRF、幂等请求标识、Long 字符串、十进制金额数量和响应组织校验。页面权限覆盖 inv:purchaseReturn:list/query/add/submit/confirm/remove/export 与 file:upload；后端补齐来源可退数量、服务端权威快照、并发状态检查、内容与状态更新分离和文件响应禁缓存。真实 MySQL/Redis/Nacos、文件目录、浏览器 E2E 与生产等价验收仍未执行。
erp-ui/src/views/inventory/supplier/index.vue,重设计,/inventory/suppliers,erp-ui-next/src/pages/inventory/suppliers/SupplierWorkbenchPage.vue | erp-ui-next/src/pages/inventory/suppliers/SupplierEditorDialog.vue | erp-ui-next/src/pages/inventory/suppliers/SupplierDetailDialog.vue | erp-ui-next/src/domains/inventory/suppliers/supplier.model.ts | erp-ui-next/src/domains/inventory/suppliers/supplier.contract.ts | erp-ui-next/src/domains/inventory/suppliers/supplier.gateway.ts | erp-ui-next/src/domains/inventory/suppliers/supplier.http.ts,erp-ui-next/src/pages/inventory/suppliers/SupplierWorkbenchPage.test.ts | erp-ui-next/src/pages/inventory/suppliers/SupplierEditorDialog.test.ts | erp-ui-next/src/domains/inventory/suppliers/supplier.contract.test.ts | erp-ui-next/src/domains/inventory/suppliers/supplier.gateway.test.ts | erp-ui-next/src/domains/inventory/suppliers/supplier.http.test.ts | erp-ui-next/src/api/http/http-client.test.ts | erp-ui-next/src/app/router/route-access.test.ts | erp-ui-next/src/app/shell/navigation.test.ts,供应商主数据维护前端垂直切片已完成，真实运行验收待确认,部分实现,docs/ERP-NEW_2-阶段6供应商主数据维护前端垂直切片实施计划-20260809.md | docs/ERP-NEW_2-阶段6供应商主数据维护前端垂直切片检查点-20260809.md,真实供应商列表、详情、供应商品、新增、更新、删除和导出 HTTP Gateway 已接入，强制 Dept-NumId、CSRF、幂等请求标识、no-store、Long 字符串、维护字段白名单与二进制大小限制；桌面和移动端均覆盖精确权限与两步删除。后端补齐成本字段脱敏、组织范围失败关闭、重名重码校验、引用安全重命名与删除、备注持久化及写响应禁缓存；供应商评分、准入与资质、状态变更专属审计、导入和真实浏览器生产等价验收仍未迁移。
erp-ui/src/views/inventory/category/index.vue,重设计,/inventory/categories,erp-ui-next/src/pages/inventory/categories/CategoryWorkbenchPage.vue | erp-ui-next/src/pages/inventory/categories/CategoryEditorDialog.vue | erp-ui-next/src/domains/inventory/categories/category.model.ts | erp-ui-next/src/domains/inventory/categories/category.contract.ts | erp-ui-next/src/domains/inventory/categories/category.gateway.ts | erp-ui-next/src/domains/inventory/categories/category.http.ts,erp-ui-next/src/pages/inventory/categories/CategoryWorkbenchPage.test.ts | erp-ui-next/src/pages/inventory/categories/CategoryEditorDialog.test.ts | erp-ui-next/src/domains/inventory/categories/category.contract.test.ts | erp-ui-next/src/domains/inventory/categories/category.gateway.test.ts | erp-ui-next/src/domains/inventory/categories/category.http.test.ts | erp-ui-next/src/app/router/route-access.test.ts | erp-ui-next/src/app/shell/navigation.test.ts | erp-ui-next/src/pages/inventory/products/ProductCatalogPage.test.ts,商品分类主数据维护前端垂直切片已完成，真实运行验收待确认,部分实现,docs/ERP-NEW_2-阶段6商品分类主数据维护前端垂直切片实施计划-20260809.md | docs/ERP-NEW_2-阶段6商品分类主数据维护前端垂直切片检查点-20260809.md,真实分类树、详情、新增、更新和删除 HTTP Gateway 已接入，强制 Dept-NumId、CSRF、双幂等标识、no-store、Long 字符串和递归树白名单契约；已覆盖桌面与移动筛选、层级展开、根/子分类新增、父级不可变编辑、停启用和两步删除。后端补齐非法排序/状态/父级校验、停用父级阻断、写响应禁缓存及备注持久化；真实浏览器生产等价验收仍未执行。
erp-ui/src/views/index.vue,重设计,/,erp-ui-next/src/pages/workbench/WorkbenchPage.vue | erp-ui-next/src/app/shell/AppShell.vue | erp-ui-next/src/app/shell/ErpCommandPalette.vue | erp-ui-next/src/app/shell/navigation.ts,erp-ui-next/src/pages/workbench/WorkbenchPage.test.ts | erp-ui-next/src/app/shell/AppShell.test.ts | erp-ui-next/src/app/shell/ErpCommandPalette.test.ts | erp-ui-next/src/app/shell/navigation.test.ts,阶段3原型已验收，领域迁移待确认,部分实现,docs/ERP-NEW_2-阶段3原型验收记录-20260802.md | docs/ERP-NEW_2-前端骨架空状态设计系统切片检查点-20260803.md | docs/ERP-NEW_2-前端骨架全局功能检索切片检查点-20260803.md,当前工作台为隔离 Mock 投影；已建立权限过滤的侧栏、移动导航与全局功能检索，真实会话、消息、最近访问和完整经营指标尚未接线。
erp-ui/src/views/workbench/todo/index.vue,重设计,/tasks,erp-ui-next/src/pages/tasks/MobileTasksPage.vue | erp-ui-next/src/domains/todos/todo.model.ts | erp-ui-next/src/domains/todos/todo.contract.ts | erp-ui-next/src/domains/todos/todo.aggregate.ts | erp-ui-next/src/domains/todos/todo.target.ts | erp-ui-next/src/domains/todos/todo.gateway.ts | erp-ui-next/src/domains/todos/todo.http.ts,erp-ui-next/src/pages/tasks/MobileTasksPage.test.ts | erp-ui-next/src/domains/todos/todo.contract.test.ts | erp-ui-next/src/domains/todos/todo.aggregate.test.ts | erp-ui-next/src/domains/todos/todo.target.test.ts | erp-ui-next/src/domains/todos/todo.http.test.ts | erp-ui-next/src/platform/navigation/task-deep-link.test.ts,统一待办真实 HTTP 与移动任务中心已完成，未迁移业务处理页待确认,部分实现,docs/ERP-NEW_2-阶段6统一待办真实HTTP与移动任务中心实施计划-20260809.md | docs/ERP-NEW_2-阶段6统一待办真实HTTP与移动任务中心检查点-20260809.md,已接入 approval、inventory、oa、system 四个 Provider 的真实只读 HTTP 聚合、全局前缀分页、同组织同查询安全缓存、局部失败陈旧状态和深链白名单；未迁移业务页面继续失败关闭，待办中心不执行写操作。
erp-ui/src/views/mobile/todo/index.vue,重设计,/tasks,erp-ui-next/src/pages/tasks/MobileTasksPage.vue | erp-ui-next/src/domains/todos/todo.model.ts | erp-ui-next/src/domains/todos/todo.contract.ts | erp-ui-next/src/domains/todos/todo.aggregate.ts | erp-ui-next/src/domains/todos/todo.target.ts | erp-ui-next/src/domains/todos/todo.gateway.ts | erp-ui-next/src/domains/todos/todo.http.ts,erp-ui-next/src/pages/tasks/MobileTasksPage.test.ts | erp-ui-next/src/domains/todos/todo.contract.test.ts | erp-ui-next/src/domains/todos/todo.aggregate.test.ts | erp-ui-next/src/domains/todos/todo.target.test.ts | erp-ui-next/src/domains/todos/todo.http.test.ts | erp-ui-next/src/platform/navigation/task-deep-link.test.ts,统一待办真实 HTTP 与移动任务中心已完成，未迁移业务处理页待确认,部分实现,docs/ERP-NEW_2-阶段6统一待办真实HTTP与移动任务中心实施计划-20260809.md | docs/ERP-NEW_2-阶段6统一待办真实HTTP与移动任务中心检查点-20260809.md,桌面与移动共用单一任务路由和业务模型；已接入四 Provider 真实只读 HTTP 聚合、局部失败状态和安全深链，未迁移处理页保持不可跳转。
erp-ui/src/views/inventory/transfer/index.vue,重设计,/inventory/transfer | /inventory/transfer/new | /inventory/transfer/:transferId/approval/:engine/:taskId/:instanceId? | /inventory/transfer/:transferId/shipment-planning | /inventory/transfer/:taskId/receive | /inventory/transfer/discrepancies/:caseId/adjudication,erp-ui-next/src/pages/inventory/transfer/TransferWorkbenchPage.vue | erp-ui-next/src/pages/inventory/transfer/NewTransferPage.vue | erp-ui-next/src/pages/inventory/transfer/TransferApprovalPage.vue | erp-ui-next/src/pages/inventory/transfer/TransferShipmentPlanningPage.vue | erp-ui-next/src/pages/inventory/transfer/ReceivingPage.vue | erp-ui-next/src/pages/inventory/transfer/TransferDiscrepancyAdjudicationPage.vue | erp-ui-next/src/domains/inventory/transfer/transfer.model.ts | erp-ui-next/src/domains/inventory/transfer/transfer.gateway.ts | erp-ui-next/src/domains/inventory/transfer/transfer-workbench.contract.ts | erp-ui-next/src/domains/inventory/transfer/transfer-workbench.http.ts | erp-ui-next/src/domains/inventory/transfer/transfer-export.http.ts | erp-ui-next/src/domains/inventory/transfer/transfer-detail.http.ts | erp-ui-next/src/domains/inventory/transfer/transfer-revision.http.ts,erp-ui-next/src/pages/inventory/transfer/TransferWorkbenchPage.test.ts | erp-ui-next/src/pages/inventory/transfer/NewTransferPage.test.ts | erp-ui-next/src/pages/inventory/transfer/TransferApprovalPage.test.ts | erp-ui-next/src/pages/inventory/transfer/TransferShipmentPlanningPage.test.ts | erp-ui-next/src/pages/inventory/transfer/ReceivingPage.test.ts | erp-ui-next/src/pages/inventory/transfer/TransferDiscrepancyAdjudicationPage.test.ts | erp-ui-next/src/domains/inventory/transfer/transfer-workbench.contract.test.ts | erp-ui-next/src/domains/inventory/transfer/transfer-workbench.http.test.ts | erp-ui-next/src/app/providers/http-gateways.test.ts | erp-modules/erp-inventory/src/test/java/com/erp/inventory/controller/InvTransferControllerSourceTest.java | erp-modules/erp-inventory/src/test/java/com/erp/inventory/service/impl/InvTransferServiceImplTest.java | erp-modules/erp-inventory/src/test/java/com/erp/inventory/mapper/InventoryMapperBindingTest.java | erp-modules/erp-inventory/src/test/java/com/erp/inventory/mapper/NewBusinessOpsMapperBindingTest.java | erp-ui-next/src/domains/inventory/transfer/transfer-export.http.test.ts | erp-ui-next/src/domains/inventory/transfer/transfer-detail.http.test.ts | erp-ui-next/src/domains/inventory/transfer/transfer-revision.http.test.ts | erp-modules/erp-inventory/src/test/java/com/erp/inventory/controller/InvTransferControllerCostSecurityTest.java | erp-modules/erp-inventory/src/test/java/com/erp/inventory/service/impl/InvTransferCostVisibilityPolicyTest.java | erp-modules/erp-inventory/src/test/java/com/erp/inventory/service/impl/InvTransferExportServiceTest.java,调拨任务工作台真实 HTTP 读取、服务端成本脱敏与受控导出闭环已完成，完整调拨业务矩阵待确认,部分实现,docs/ERP-NEW_2-阶段3原型验收记录-20260802.md | docs/ERP-NEW_2-前端骨架审批与发货移动主操作栏切片检查点-20260803.md | docs/ERP-NEW_2-前端骨架差异裁决移动主操作栏切片检查点-20260803.md | docs/ERP-NEW_2-阶段5调拨任务工作台真实HTTP闭环实施计划-20260810.md | docs/ERP-NEW_2-阶段5调拨任务工作台真实HTTP闭环检查点-20260810.md | docs/ERP-NEW_2-阶段5调拨成本脱敏与受控导出实施计划-20260810.md | docs/ERP-NEW_2-阶段5调拨成本脱敏与受控导出检查点-20260810.md,调拨列表与运营摘要已接入当前精确门店或仓库的真实只读 HTTP Gateway；列表、详情和不可变修订历史由服务端按 inv:cost:view 脱敏，处理中与历史导出使用独立权限、当前组织范围、显式列白名单、no-store 和 10000 行同步上限，前端在导出前冻结组织、已生效筛选与成本权限并二次确认。已移除 Mock 提示、跨单位数量汇总、伪截止时间和用调拨单 ID 构造的收货链接。规则配置、剩余写门禁、独立运行环境、浏览器 E2E 与生产等价验收仍未完成。
erp-ui/src/views/inventory/transfer/records.vue,重设计,/inventory/transfer | /inventory/transfer/:transferId/history,erp-ui-next/src/pages/inventory/transfer/TransferWorkbenchPage.vue | erp-ui-next/src/pages/inventory/transfer/TransferRevisionHistoryPage.vue | erp-ui-next/src/domains/inventory/transfer/transfer-workbench.contract.ts | erp-ui-next/src/domains/inventory/transfer/transfer-workbench.http.ts,erp-ui-next/src/pages/inventory/transfer/TransferWorkbenchPage.test.ts | erp-ui-next/src/pages/inventory/transfer/TransferRevisionHistoryPage.test.ts | erp-ui-next/src/domains/inventory/transfer/transfer-workbench.contract.test.ts | erp-ui-next/src/domains/inventory/transfer/transfer-workbench.http.test.ts | erp-ui-next/src/app/providers/http-gateways.test.ts,调拨任务工作台真实 HTTP 读取闭环已完成，完整调拨记录矩阵待确认,部分实现,docs/ERP-NEW_2-阶段7调拨修订历史契约与对比界面检查点-20260802.md | docs/ERP-NEW_2-阶段5调拨任务工作台真实HTTP闭环实施计划-20260810.md | docs/ERP-NEW_2-阶段5调拨任务工作台真实HTTP闭环检查点-20260810.md,调拨列表入口已改为当前组织真实 HTTP、服务端筛选分页和安全本页 CSV；不可变版本历史沿用既有契约。旧记录专属查询与服务端导出、权威详情动作、独立运行环境及浏览器生产等价验收仍未全部迁移。
erp-ui/src/views/inventory/transfer/components/TransferApprovalProgress.vue,重设计,/inventory/transfer/:transferId/approval/:engine/:taskId/:instanceId?,erp-ui-next/src/pages/inventory/transfer/TransferApprovalPage.vue | erp-ui-next/src/design-system/components/ErpTimeline.vue,erp-ui-next/src/pages/inventory/transfer/TransferApprovalPage.test.ts | erp-ui-next/src/design-system/components/ErpTimeline.test.ts,调拨原型已验收，完整业务矩阵待确认,部分实现,docs/ERP-NEW_2-前端骨架任务状态与时间线设计系统切片检查点-20260803.md,审批进度已改为统一时间线并保留状态语义；真实审批引擎运行时仍需生产等价验证。
erp-ui/src/views/error/401.vue,重设计,/access-denied,erp-ui-next/src/pages/system/AccessDeniedPage.vue,erp-ui-next/src/app/router/route-access.test.ts,平台骨架已验证，最终浏览器矩阵待确认,部分实现,docs/ERP-NEW_2-前端平台能力权限动作同源门禁切片检查点-20260803.md,已实现默认拒绝与无权访问路由；尚缺系统状态页专属渲染测试和真实会话浏览器矩阵。
